player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Alex Sandro,DF,Brazil,31-323,Juventus,1991,3,2,190,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.04,0.05,0.01,0.05
Alex Telles,DF,Brazil,30-000,Sevilla,1992,2,1,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alexander Bah,DF,Denmark,25-006,Benfica,1997,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.11,0.14,0.25,0.11,0.25
Alexander Djiku,DF,Ghana,28-128,Strasbourg,1994,2,1,97,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alexis Mac Allister,MF,Argentina,23-356,Brighton,1998,5,5,435,4.8,1,0,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,0.6,0.6,0.5,1.1,0.14,0.11,0.25,0.14,0.25
Alexis Vega,FW,Mexico,25-020,Guadalajara,1997,3,3,193,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.9,0.39,0.06,0.44,0.39,0.44
Ali Abdi,DF,Tunisia,28-360,Caen,1993,3,2,188,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
Ali Al Hassan,MF,Saudi Arabia,25-286,Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.15,0.00,0.15,0.15,0.15
Ali Al-Bulaihi,DF,Saudi Arabia,33-024,Al-Hilal,1989,3,3,216,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ali Assadalla,MF,Qatar,29-330,Al Sadd SC,1993,1,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ali Gholizadeh,MF,IR Iran,26-280,Charleroi,1996,3,2,199,2.2,0,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,0.0,0.0,0.2,0.2,0.01,0.07,0.09,0.01,0.09
Ali Karimi,MF,IR Iran,28-307,Kayserispor,1994,3,1,99,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ali Maâloul,DF,Tunisia,32-348,Al Ahly SC,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alidu Seidu,DF,Ghana,22-194,Clermont Foot,2000,2,2,155,1.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
Alireza Beiranvand,GK,IR Iran,30-085,Persepolis,1992,2,2,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alireza Jahanbakhsh,MF,IR Iran,29-126,Feyenoord,1993,2,1,59,0.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.29,0.00,0.29,0.29,0.29
Alisson,GK,Brazil,30-074,Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alistair Johnston,DF,Canada,24-068,CF Montréal,1998,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.27,0.06,0.33,0.27,0.33
Almoez Ali,FW,Qatar,26-118,Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.15,0.00,0.15,0.15,0.15
Alphonso Davies,MF,Canada,22-043,Bayern Munich,2000,3,3,270,3.0,1,0,1,0,1,1,0,0.33,0.00,0.33,0.33,0.33,1.1,0.3,0.5,0.8,0.36,0.17,0.53,0.09,0.27
Amadou Onana,MF,Belgium,21-121,Everton,2001,2,1,104,1.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.40,0.00,0.40,0.40,0.40
Andre-Frank Zambo Anguissa,MF,Cameroon,27-029,Napoli,1995,3,3,260,2.9,0,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02
Andreas Christensen,DF,Denmark,26-249,Barcelona,1996,3,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.4,0.4,0.0,0.4,0.12,0.00,0.12,0.12,0.12
Andreas Cornelius,FW,Denmark,29-274,FC Copenhagen,1993,3,1,92,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,1.1,1.00,0.09,1.09,1.00,1.09
Andreas Skov Olsen,FW,Denmark,22-351,Club Brugge,1999,2,2,132,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.16,0.00,0.16,0.16,0.16
Andrej Kramarić,FW,Croatia,31-179,Hoffenheim,1991,6,6,414,4.6,2,0,2,0,0,0,0,0.43,0.00,0.43,0.43,0.43,1.6,1.6,0.2,1.7,0.34,0.03,0.37,0.34,0.37
Andries Noppert,GK,Netherlands,28-252,Heerenveen,1994,5,5,480,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Andrija Živković,DF,Serbia,26-157,PAOK,1996,3,3,210,2.3,0,2,0,0,0,0,0,0.00,0.86,0.86,0.00,0.86,0.1,0.1,1.1,1.2,0.03,0.48,0.50,0.03,0.50
André Ayew,MF,Ghana,32-363,Al Sadd SC,1989,3,3,198,2.2,1,0,1,0,1,1,0,0.45,0.00,0.45,0.45,0.45,1.1,0.4,0.0,0.4,0.52,0.00,0.52,0.16,0.16
André Onana,GK,Cameroon,26-257,Inter,1996,1,1,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
André Silva,FW,Portugal,27-039,RB Leipzig,1995,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.21,0.21,0.00,0.21
Andrés Guardado,MF,Mexico,36-078,Betis,1986,1,1,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Anis Ben Slimane,MF,Tunisia,21-274,Brøndby,2001,2,2,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.07,0.06,0.12,0.07,0.12
Ansu Fati,FW,Spain,20-045,Barcelona,2002,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ante Budimir,FW,Croatia,31-146,Osasuna,1991,2,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.37,0.07,0.44,0.37,0.44
Anthony Contreras,FW,Costa Rica,22-320,Club Sport Herediano,2000,3,2,125,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
Antoine Griezmann,MF,France,31-269,Atlético Madrid,1991,6,5,467,5.2,0,3,0,0,0,1,0,0.00,0.58,0.58,0.00,0.58,0.7,0.7,3.0,3.7,0.13,0.58,0.71,0.13,0.71
